product,review,star,gender,age
ヒートテックタートルネックT（9分袖）,毎年　冬前に買ってます　主人の仕事用ですがちょうどいいみたいです,3,男性,50代
ヒートテックタートルネックT（9分袖）,中学生の息子のスキーように購入。私も後から使ってますが、着心地が良いです,4,女性,回答しない
ヒートテックタートルネックT（9分袖）,"冬の必需品です。
これを着ると寒さが和らぎ
ないと冬を越せません。",4,回答しない,回答しない
ヒートテックタートルネックT（9分袖）,"黒のＭサイズ。161cm、61㎏の私にジャストフィットです。
ヒートテックのタートルネックはかなり前に1枚（中国製、アクリル40%）、数年前にもう1枚（バングラデシュ製、ポリエステル35％）購入していますが、今回のものが着ていて一番暖かく感じます。
以前のものは着るとすぐに首回りがだらんと伸びましたが、今回のものは大丈夫です。",5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"XLサイズの再販を希望します。
極暖だと厚過ぎてインナーに向きません。
クルーネックだと首回りが寒いです。
ちょうどいい薄さのちょうどいいタートルネックインナーはこれしか無いです。
何卒よろしくお願いします。",5,男性,30代
ヒートテックタートルネックT（9分袖）,"冬の次期、下着も兼ねて、気持ちよく着ています。
４、5年前のように、色を増やし、大々的に販売して欲しい。",5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"薄地で温かいので下着として愛用しています。
白でも黒でも良し。冬の定番です。",5,男性,60代以上
ヒートテックタートルネックT（9分袖）,冬の日常着としてとても良いと思います。店舗に無くて、オンラインストアで購入しています。黒のみだったので、他の色も欲しいです。,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"身長177cm体重65kgでLサイズでジャストです。
タートルネックは店舗では見つけられなかったので、オンラインストアで購入しました。",5,男性,40代
ヒートテックタートルネックT（9分袖）,"BLACKのМサイズを購入しました。
毎年購入していて、毎年形や生地がアップデートされてるのか良さを感じていたが、今年のはどーなの？！生地が薄い！爪があたったらスグに破れてしまいそう。ビックリした。値上げしてコノ商品は残念な気分です。",3,男性,50代
ヒートテックタートルネックT（9分袖）,インナーとしてとても優秀、睡眠時の首冷えを抑えることもできる。文句なしの名作,5,男性,20代
ヒートテックタートルネックT（9分袖）,"クルーネックの下に着るのに最適です。
もう少し袖丈が長ければ更に良かった。",4,男性,50代
ヒートテックタートルネックT（9分袖）,ブラック購入、使用を続けていてネック部分が緩んできたので新たに購入。サイズもMからLにしてみました。まだ着用していないので分からないですが、以前の同じものはもう1年以上愛用しています。,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,とにかく、暖かいです。肌触りも違和感がありません。色違いで、また購入したいです。,5,男性,回答しない
ヒートテックタートルネックT（9分袖）,"外仕事の主人の為に購入。寒い時期にはなくてはならない商品です。暖かく動くと汗ばむ時もあるようです。一部店舗販売ではなく、全店舗で購入できるようなると更に良いです。
",4,女性,回答しない
ヒートテックタートルネックT（9分袖）,首の締め付けも無く暖かさがとても良い。今までタートルは着ていなかったが一つは持っていた方が良いと思いました。,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,並みの寒さには対応していますが、厳しい寒さには難しいかな・・・と思えます（個人の感想）,3,男性,60代以上
ヒートテックタートルネックT（9分袖）,主人がインナーとして着ています。暖かいので、愛犬の散歩に着ています,5,男性,60代以上
ヒートテックタートルネックT（9分袖）,"あえてワンサイズアップで着用してます。パツパツ感がなくなり一枚着でも見た目下着っぽくなく違和感ないです。
外出時はジャケットなど着用。マフラー無しでも暖かいし重宝してます。",5,男性,回答しない
ヒートテックタートルネックT（9分袖）,"ヒートテックタートルネックT(９分袖)を購入しました。
コスパも最高、サイズ感も申し分ありません。
季節的にも最高です。",5,男性,60代以上
ヒートテックタートルネックT（9分袖）,冬の防寒着はタートル。普段に使うにも、スキーに着るのもありです。,5,男性,15 - 19歳
ヒートテックタートルネックT（9分袖）,"主人が着用しています。
セーターやトレーナーを着る時に、重ね着として着ている事が多いです。",4,女性,回答しない
ヒートテックタートルネックT（9分袖）,冬場のゴルフに最高のアイテム！袖の長さがプレイに邪魔にならずそれでいて暖かい！,5,男性,回答しない
ヒートテックタートルネックT（9分袖）,黒、Lサイズを購入。カラダにフィットしかなりの寒さのでも大丈夫。,4,男性,60代以上
ヒートテックタートルネックT（9分袖）,ブラックを購入しました。ピッタリとしていいですが、ハイネックに慣れてないので、首廻りがモヤモヤします。,3,男性,60代以上
ヒートテックタートルネックT（9分袖）,"薄くもなく分厚いくもなく丁度良い。
体にフィットする感じが良い。
スケ感もなし。",5,男性,回答しない
ヒートテックタートルネックT（9分袖）,とにかく冬のバイクは寒い！防寒防風のウェアで装備、首周りにもネックウォーマーを使うがそれでも足りないのでこのタートルネックのヒートテックを購入。首の部分が長めなので調節出来て良い。ジャケットのエリが直接当たらなくなるのも良い。勿論とても暖かい。,5,男性,60代以上
